 Sample_ID,Age,1σ,Isotopic ratios,,,,,,,,,,,,,
,,,176Hf/177Hf,1σ,176Lu/177Hf,1σ,176Yb/177Hf,1σ,εHf(0),1σ,εHf(t),1σ,TDM1,TDM2,fLu/Hf,
BD14-1,223 ,2 ,0.28229 ,0.00002 ,0.00147 ,0.00002 ,0.03992 ,0.00049 ,-16.97 ,0.84 ,-12.27 ,0.85 ,1371.44 ,1804.50 ,-0.96 ,
BD14-2,293 ,4 ,0.28214 ,0.00002 ,0.00171 ,0.00003 ,0.04121 ,0.00086 ,-22.44 ,0.77 ,-16.24 ,0.79 ,1599.92 ,2079.65 ,-0.95 ,
BD14-3,371 ,3 ,0.28186 ,0.00001 ,0.00087 ,0.00001 ,0.01918 ,0.00031 ,-32.08 ,0.72 ,-24.15 ,0.74 ,1941.53 ,2568.88 ,-0.97 ,
BD14-4,330 ,3 ,0.28232 ,0.00002 ,0.00176 ,0.00012 ,0.05321 ,0.00423 ,-15.97 ,0.77 ,-9.01 ,0.81 ,1341.71 ,1711.08 ,-0.95 ,
BD16-1-40-HF,219 ,2 ,0.28242 ,0.00001 ,0.00062 ,0.00001 ,0.01493 ,0.00032 ,-12.55 ,0.69 ,-7.81 ,0.70 ,1167.94 ,1555.64 ,-0.98 ,
JLG16-1-55-HF,210 ,2 ,0.28261 ,0.00001 ,0.00073 ,0.00002 ,0.01932 ,0.00038 ,-5.67 ,0.62 ,-1.20 ,0.63 ,899.95 ,1180.20 ,-0.98 ,
JLG16-1-57-HF,384 ,3 ,0.28207 ,0.00001 ,0.00083 ,0.00002 ,0.02286 ,0.00041 ,-24.65 ,0.64 ,-16.47 ,0.66 ,1649.60 ,2158.19 ,-0.97 ,
LH16-56-11-HF,268 ,4 ,0.28289 ,0.00001 ,0.00055 ,0.00000 ,0.01648 ,0.00028 ,4.08 ,0.67 ,9.84 ,0.69 ,510.51 ,611.18 ,-0.98 ,
LH16-56-12-HF,304 ,3 ,0.28243 ,0.00001 ,0.00162 ,0.00002 ,0.04917 ,0.00060 ,-11.96 ,0.67 ,-5.63 ,0.69 ,1175.87 ,1500.33 ,-0.95 ,
LH16-56-26-HF,272 ,3 ,0.28239 ,0.00001 ,0.00135 ,0.00001 ,0.03471 ,0.00026 ,-13.43 ,0.70 ,-7.70 ,0.72 ,1225.79 ,1590.13 ,-0.96 ,
LH16-56-30-HF,272 ,5 ,0.28248 ,0.00001 ,0.00040 ,0.00000 ,0.01041 ,0.00011 ,-10.32 ,0.71 ,-4.63 ,0.72 ,1074.19 ,1412.93 ,-0.99 ,
LH16-56-34-HF,235 ,3 ,0.28202 ,0.00001 ,0.00076 ,0.00001 ,0.02223 ,0.00036 ,-26.52 ,0.64 ,-21.49 ,0.65 ,1719.49 ,2319.11 ,-0.98 ,
LH16-56-39-HF,258 ,3 ,0.28257 ,0.00001 ,0.00145 ,0.00008 ,0.03969 ,0.00206 ,-7.18 ,0.71 ,-1.72 ,0.74 ,978.45 ,1250.09 ,-0.96 ,
LH16-56-52-HF,232 ,3 ,0.28204 ,0.00001 ,0.00060 ,0.00001 ,0.01889 ,0.00047 ,-25.96 ,0.62 ,-20.97 ,0.64 ,1690.38 ,2288.15 ,-0.98 ,
LH16-56-61-HF,254 ,4 ,0.28222 ,0.00001 ,0.00030 ,0.00000 ,0.00804 ,0.00019 ,-19.69 ,0.67 ,-13.96 ,0.68 ,1435.02 ,1928.43 ,-0.99 ,
LH16-76-02-HF,209 ,3 ,0.28252 ,0.00001 ,0.00079 ,0.00002 ,0.02138 ,0.00062 ,-8.88 ,0.63 ,-4.41 ,0.65 ,1028.26 ,1358.47 ,-0.98 ,
LH16-76-03-HF,223 ,3 ,0.28256 ,0.00001 ,0.00128 ,0.00010 ,0.03647 ,0.00321 ,-7.35 ,0.67 ,-2.65 ,0.69 ,980.69 ,1272.20 ,-0.96 ,
LH16-76-07-HF,216 ,3 ,0.28249 ,0.00001 ,0.00138 ,0.00005 ,0.03502 ,0.00121 ,-10.05 ,0.69 ,-5.51 ,0.71 ,1091.47 ,1424.86 ,-0.96 ,
LH16-76-08-HF,218 ,3 ,0.28266 ,0.00001 ,0.00165 ,0.00009 ,0.04028 ,0.00274 ,-3.85 ,0.69 ,0.70 ,0.71 ,848.69 ,1082.55 ,-0.95 ,
LH16-76-11-HF,272 ,4 ,0.28245 ,0.00001 ,0.00024 ,0.00000 ,0.00714 ,0.00010 ,-11.32 ,0.63 ,-5.58 ,0.65 ,1108.55 ,1466.32 ,-0.99 ,
LH16-76-12-HF,232 ,3 ,0.28249 ,0.00001 ,0.00080 ,0.00001 ,0.02132 ,0.00039 ,-9.89 ,0.69 ,-4.86 ,0.70 ,1068.47 ,1403.94 ,-0.98 ,
LH16-76-13-HF,222 ,3 ,0.28252 ,0.00001 ,0.00062 ,0.00002 ,0.01584 ,0.00076 ,-8.75 ,0.66 ,-3.97 ,0.67 ,1018.70 ,1344.67 ,-0.98 ,
LH16-76-14-HF,234 ,3 ,0.28254 ,0.00001 ,0.00059 ,0.00001 ,0.01481 ,0.00023 ,-8.29 ,0.68 ,-3.53 ,0.69 ,1000.10 ,1319.59 ,-0.98 ,
LH16-76-15-HF,326 ,4 ,0.28238 ,0.00001 ,0.00165 ,0.00002 ,0.04876 ,0.00087 ,-13.83 ,0.68 ,-7.02 ,0.70 ,1251.92 ,1595.10 ,-0.95 ,
LH16-76-16-HF,218 ,3 ,0.28251 ,0.00001 ,0.00088 ,0.00002 ,0.02328 ,0.00051 ,-9.32 ,0.67 ,-4.72 ,0.68 ,1048.29 ,1380.94 ,-0.97 ,
